iter	Passed	Remaining
929	7120	535
930	7126	528
931	7134	520
932	7141	512
933	7148	505
934	7155	497
935	7162	489
936	7168	482
937	7176	474
938	7183	466
939	7189	458
940	7196	451
941	7203	443
942	7210	435
943	7218	428
944	7225	420
945	7231	412
946	7239	405
947	7246	397
948	7253	389
949	7261	382
950	7268	374
951	7275	366
952	7282	359
953	7288	351
954	7295	343
955	7302	336
956	7310	328
957	7316	320
958	7323	313
959	7330	305
960	7337	297
961	7345	290
962	7353	282
963	7359	274
964	7366	267
965	7373	259
966	7380	251
967	7388	244
968	7394	236
969	7401	228
970	7408	221
971	7416	213
972	7423	205
973	7429	198
974	7436	190
975	7443	183
976	7450	175
977	7457	167
978	7464	160
979	7471	152
980	7478	144
981	7485	137
982	7493	129
983	7500	121
984	7507	114
985	7514	106
986	7520	99
987	7527	91
988	7534	83
989	7541	76
990	7549	68
991	7556	60
992	7563	53
993	7570	45
994	7577	38
995	7585	30
996	7592	22
997	7599	15
998	7605	7
999	7613	0
