iter	Kappa	MultiClass
562	0.5637383334	1.011004319
563	0.5640070289	1.01054644
564	0.5631603818	1.009736422
565	0.5638720771	1.009129104
566	0.5640153083	1.008516828
567	0.5644483754	1.00798042
568	0.5647171244	1.007733216
569	0.5661528617	1.007129107
570	0.56615295	1.006448775
571	0.5668719393	1.005997093
572	0.5684361915	1.005475488
573	0.5689776299	1.00496715
574	0.568472576	1.004556201
575	0.5693124401	1.004065235
576	0.5695982897	1.003562089
577	0.5697275706	1.003239894
578	0.5704538418	1.002902749
579	0.5705833558	1.002350053
580	0.5718591633	1.00185574
581	0.5731060656	1.001137282
582	0.5735263244	1.000751115
583	0.5732417627	1.000282951
584	0.5738252183	0.9996781998
585	0.5745351149	0.9991238457
586	0.5748020344	0.9987639856
587	0.5749272179	0.998503767
588	0.5762039131	0.9979765664
589	0.5763434518	0.9975888001
590	0.5764610578	0.9971050528
591	0.5771886406	0.996508809
592	0.5777662296	0.9959616746
593	0.5784461627	0.9956118
594	0.5791729659	0.9951114856
595	0.5803354753	0.9946430547
596	0.5807888448	0.9940468483
597	0.581608914	0.9933548288
598	0.5821908541	0.9927389366
599	0.582465347	0.9924109611
600	0.5820304695	0.9919523715
601	0.5816159051	0.9915816546
602	0.5832050328	0.9910969422
603	0.5847905705	0.9906336407
604	0.5845120905	0.9900339732
605	0.585033643	0.9893116466
606	0.5853294547	0.9887774065
607	0.5861742654	0.9886318854
608	0.5854803953	0.9882859718
609	0.5870164918	0.9877796967
610	0.5874238626	0.9875076335
611	0.5880073484	0.9872151075
612	0.5895909979	0.9866504538
613	0.5895591767	0.9863490722
614	0.5891518303	0.9858946492
615	0.5898600814	0.9855103933
616	0.5900166756	0.9848357486
617	0.589881049	0.9843314357
618	0.5907170544	0.9837434239
619	0.5918513954	0.9832874291
620	0.5925230709	0.9825820157
621	0.5926599539	0.9823053698
622	0.5929642182	0.9818467742
623	0.5953578175	0.9811818311
624	0.5960391867	0.9805700836
625	0.5954800683	0.9802707194
626	0.5959200288	0.979996791
627	0.5966527589	0.9795757687
628	0.59622247	0.9793396078
629	0.597192385	0.9786024667
630	0.5985910344	0.9779200558
631	0.5998642809	0.9774724531
632	0.6014095381	0.9771332046
633	0.6019863748	0.9767288014
634	0.6010182137	0.9762446495
635	0.6028437135	0.975764024
636	0.6018744162	0.9751882722
637	0.6026086301	0.9747621451
638	0.6031779638	0.9743962349
639	0.6037710743	0.9737716019
640	0.6041547896	0.9734132511
641	0.6047970784	0.9726887992
642	0.605868982	0.972272001
643	0.6065774327	0.9716729114
644	0.607695154	0.9714699503
645	0.6081259917	0.9710127442
646	0.6075747891	0.9707773656
647	0.6085528352	0.9700928469
648	0.6085477164	0.9697755324
649	0.6092651045	0.9695232441
650	0.609233698	0.9691244747
651	0.610052715	0.9683952576
652	0.6107609137	0.9680539514
653	0.6117579821	0.9676818342
654	0.6120341829	0.9673691269
655	0.6120195088	0.9668294101
656	0.6131538526	0.9664908498
657	0.6137124138	0.9662803017
658	0.6142860456	0.9656958638
659	0.6155384365	0.9653634904
660	0.6159735887	0.9649498849
661	0.6166651816	0.9645734595
662	0.6166727804	0.9639311166
663	0.6175088521	0.9636585215
664	0.6181982573	0.9630980112
665	0.6166386946	0.9627325459
666	0.6180641255	0.962279634
667	0.6180746838	0.9617421528
668	0.6176882647	0.9614536791
669	0.6195269135	0.9610042415
670	0.6205385831	0.9605127882
671	0.6213588135	0.9599583683
672	0.6215074099	0.9593425124
673	0.6238766525	0.9586881915
674	0.6242992125	0.9582829577
675	0.6241726783	0.9578084016
676	0.6247426501	0.9571379576
677	0.6253113697	0.9566759081
678	0.6265487232	0.9562617718
679	0.6269946036	0.9556281743
680	0.6260144226	0.9550273489
681	0.6268533115	0.9546384984
682	0.6278427813	0.9541758872
683	0.6279733451	0.9538798186
684	0.6272763936	0.9532427139
685	0.6286788835	0.952833516
686	0.6305112578	0.9523045204
687	0.6302475483	0.9519732661
688	0.6312166092	0.9514806849
689	0.6308108345	0.9510652082
690	0.6312320557	0.9506006796
691	0.6320579142	0.9503194341
692	0.6323439737	0.949502454
693	0.631517885	0.9490151407
694	0.6322234256	0.9482804642
695	0.6326574846	0.9479395997
696	0.6320762654	0.9474657188
697	0.6322073386	0.9469803543
698	0.6334451079	0.9466967269
699	0.6335923218	0.9464210045
700	0.6341702476	0.9460062334
701	0.6357274413	0.9454785169
702	0.6360057244	0.9450288841
703	0.6362795611	0.9445098944
704	0.6361410247	0.9442824432
705	0.6362630511	0.9437067729
706	0.6383590949	0.9429917986
707	0.6383510392	0.9426730056
708	0.6383304157	0.9423153509
709	0.6391976294	0.9419540523
710	0.6401826736	0.9413980482
711	0.6408768346	0.940993675
712	0.6410290104	0.9406537468
713	0.6414365135	0.9399611095
714	0.6410540987	0.939427189
715	0.6417465824	0.9391206743
716	0.6428553459	0.9386059024
717	0.6435603467	0.9379358985
718	0.6440013649	0.9375334867
719	0.6437325179	0.9373038496
720	0.6444078818	0.9370155415
721	0.6452585602	0.9364188678
722	0.6455620771	0.9357499896
723	0.6454177448	0.9354554037
724	0.6445586856	0.9351071079
725	0.6450886796	0.9346590569
726	0.6462183007	0.9342846598
727	0.6456784614	0.9338173974
728	0.6451344437	0.9332397862
729	0.6461101677	0.9328469586
730	0.6460921735	0.9326135085
731	0.6472576661	0.9319951583
732	0.6475114903	0.9313651155
733	0.6480864908	0.9309831293
734	0.6486561796	0.9304650471
735	0.648239901	0.9301146208
736	0.6487926334	0.9295456261
737	0.6506278291	0.9292135539
738	0.650084306	0.9289082505
739	0.6503623874	0.9283739826
740	0.6503670295	0.9277123131
741	0.6509205998	0.9273982144
742	0.6514829838	0.9269525977
743	0.6517591916	0.9264808773
744	0.6527463986	0.9260166915
745	0.6541403803	0.9253245692
746	0.6545561343	0.9250979063
747	0.6558172706	0.9245498901
748	0.6561033827	0.9240818087
749	0.6559714074	0.9237184862
750	0.6561378394	0.9233218448
751	0.6572696019	0.9230446876
752	0.656999984	0.9225913382
753	0.6569805146	0.9221244229
754	0.6574000818	0.9215601747
755	0.6574100753	0.9212055096
756	0.6570250469	0.9208000016
757	0.6577130903	0.920458503
758	0.6582690636	0.9198003767
759	0.6589731526	0.919446931
760	0.6591106113	0.9190917005
761	0.6589665609	0.9186708847
762	0.6589386791	0.9180908861
763	0.6599408148	0.9174945135
764	0.660778951	0.9170955173
765	0.6610436081	0.9167541608
766	0.6609000424	0.9163636165
767	0.6614615532	0.9160373777
768	0.6628572138	0.9153857212
769	0.6638426693	0.915034541
770	0.6641721713	0.9146510272
771	0.6627809048	0.9143159486
772	0.6636261352	0.9139289022
773	0.6645792001	0.9133402998
774	0.6644343364	0.9130112409
775	0.665313765	0.9124650186
776	0.6657184045	0.9121358174
777	0.6657122109	0.9117688977
778	0.6665660211	0.911176133
779	0.6668214165	0.9106909608
780	0.6673653093	0.9104010367
781	0.6672479458	0.9100161935
782	0.6676441535	0.9095258917
783	0.6677986722	0.9091814663
784	0.6687904407	0.9087023567
785	0.6697744673	0.9084979006
786	0.6703665951	0.908026796
787	0.6709264157	0.9077685109
788	0.6713551969	0.9072503514
789	0.672039552	0.9067486588
790	0.6728998132	0.9064094095
791	0.6730284123	0.9059025484
792	0.6737584423	0.9054839397
793	0.6759760542	0.9050246363
794	0.6763895158	0.9045821338
795	0.6767781642	0.9042068161
796	0.6781836424	0.9037208091
797	0.6783187946	0.9031282164
798	0.6797429316	0.9026977761
799	0.6796232302	0.9021094731
800	0.6802932155	0.9014831755
801	0.6804335602	0.9011158173
802	0.6798812274	0.9008213791
803	0.6803244668	0.9002663583
804	0.6800437412	0.8999989014
805	0.680048916	0.8997668681
806	0.6803343441	0.8995347353
807	0.6811672643	0.899212355
808	0.6811522835	0.898651809
809	0.6825488929	0.8982631601
810	0.682287358	0.8977518339
811	0.6827014018	0.8973458138
812	0.6835450204	0.8968692098
813	0.6839760952	0.8963700473
814	0.684706851	0.8957154465
815	0.6848397565	0.8953041253
816	0.6855313618	0.8947480048
817	0.6852623379	0.894375327
818	0.6855453732	0.8939941275
819	0.6851116956	0.8935353747
820	0.6849985819	0.8931728806
821	0.6859890082	0.892680283
822	0.6861263586	0.8922814942
823	0.6861441895	0.8918846825
824	0.6868226007	0.8913529589
825	0.6873617039	0.8910453651
826	0.6879048486	0.8906728614
827	0.688745855	0.890318062
828	0.6884939651	0.8898659181
829	0.6893403476	0.8893491809
830	0.6897588401	0.8888357016
831	0.6905965666	0.8882806468
832	0.6916981288	0.8878247701
833	0.6918374852	0.8874330666
834	0.6935138049	0.8870441241
835	0.6939437082	0.8867554462
836	0.6938003374	0.8863046952
837	0.6940888015	0.8858873496
838	0.694643769	0.8854678444
839	0.6945072022	0.8850726933
840	0.6940920245	0.8847067585
841	0.6954868531	0.8842210274
842	0.6953493895	0.8836832548
843	0.696349362	0.8832549395
844	0.697029765	0.8827588536
845	0.6968806992	0.8823333684
846	0.6978505335	0.8819873018
847	0.6984173508	0.8816842969
848	0.6988451931	0.8813545483
849	0.6996801969	0.8810879089
850	0.7005132616	0.8807177132
851	0.7009375359	0.8802480419
852	0.7016711729	0.8798645526
853	0.7013914634	0.8794486313
854	0.7016700118	0.8792663574
855	0.7019410679	0.878844258
856	0.7023700377	0.878548132
857	0.7026624459	0.8783149679
858	0.7026586303	0.8780930765
859	0.7025209387	0.8777735963
860	0.702933793	0.8774500907
861	0.7036261364	0.8770445702
862	0.7037674861	0.8767291633
863	0.7038920319	0.8762539244
864	0.7038930429	0.8757450173
865	0.703903937	0.8752348027
866	0.7050294925	0.8746708386
867	0.7047425315	0.8743241041
868	0.7046182726	0.8740632601
869	0.7053011132	0.8736580525
870	0.7055929044	0.8733573195
871	0.7058799107	0.873006143
872	0.7056005875	0.8726494357
873	0.7067306517	0.8722044881
874	0.7068758047	0.8717624219
875	0.7056297659	0.8713664964
876	0.705475121	0.8711492387
877	0.7063031211	0.8707978719
878	0.7050616345	0.8703402469
879	0.705777232	0.8698291437
880	0.7064802094	0.8695356065
881	0.7077301936	0.8689655575
882	0.708724906	0.8685536139
883	0.7088602471	0.8682362163
884	0.7088644409	0.8680020754
885	0.7089944591	0.8677362151
886	0.70899746	0.8674794287
887	0.7091392597	0.8670945959
888	0.7094171936	0.8668089538
889	0.7108120088	0.8663218349
890	0.7118008419	0.8657873935
891	0.7119265891	0.8656354757
892	0.712772958	0.8653461572
893	0.7122155535	0.8649758053
894	0.7126328545	0.8646014317
895	0.7138892247	0.8641492495
896	0.7139046566	0.8637885676
897	0.7143254526	0.8632014104
898	0.7157282529	0.8627131977
899	0.7153220449	0.8622330307
900	0.7153241812	0.8618231522
901	0.7163030542	0.8613261347
902	0.7161784967	0.8608926471
903	0.71687378	0.8604862502
904	0.7167272302	0.8602153854
905	0.7168816593	0.8598036897
906	0.7171664381	0.8592074506
907	0.7180119341	0.8587036303
908	0.7170261594	0.8583782642
909	0.7174393767	0.8581838613
910	0.7180039726	0.8578179407
911	0.7178845948	0.8573712187
912	0.7175775396	0.8570484501
913	0.7185537402	0.856618497
914	0.7199523319	0.8560013037
915	0.7199603435	0.8555976749
